
CET,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2013-2-15,2,0,-2,0,-2,-3,93,85,71,1022,1020,1018,7,6,4,21,11,,0.00,7,Rain-Snow,118<br />
2013-2-16,2,1,1,1,0,-1,93,88,77,1026,1024,1022,5,4,2,10,5,,0.00,7,Rain-Snow,352<br />
2013-2-17,2,1,1,1,-1,-3,100,81,57,1027,1026,1025,19,8,0,14,8,,0.00,7,Fog-Rain,66<br />
2013-2-18,2,1,0,0,-3,-4,100,77,61,1026,1022,1017,19,11,5,19,8,,0.51,7,Rain-Snow,239<br />
2013-2-19,1,1,0,1,-1,-2,100,93,76,1017,1013,1009,31,9,1,23,16,,0.51,7,Snow,320<br />
2013-2-20,-1,-2,-3,-2,-3,-5,93,84,69,1024,1021,1017,31,11,2,19,13,,0.51,6,Snow,351<br />
2013-2-21,-2,-3,-4,-4,-6,-8,93,78,53,1024,1023,1022,31,15,10,19,10,,0.00,5,Snow,22<br />
2013-2-22,-2,-3,-4,-6,-7,-8,86,73,51,1023,1020,1018,19,11,8,26,13,,0.00,6,Snow,50<br />
2013-2-23,-1,-2,-4,-1,-4,-7,100,82,65,1019,1015,1013,19,7,2,26,18,37,0.51,7,Snow,36<br />
2013-2-24,2,0,-1,2,1,-2,100,98,87,1019,1015,1013,8,3,1,14,11,,2.03,7,Snow,44<br />
2013-2-25,2,1,1,2,1,0,100,93,82,1029,1023,1018,7,5,3,19,13,,0.00,7,Rain-Snow,55<br />
2013-2-26,2,1,1,1,0,-1,100,91,83,1033,1031,1028,7,5,3,14,11,,0.00,7,Rain,40<br />
2013-2-27,3,2,1,1,1,-1,93,90,77,1034,1032,1031,14,9,6,10,6,,0.00,7,Rain,14<br />
2013-2-28,5,2,0,1,0,-1,100,86,59,1032,1027,1022,19,11,5,23,8,,0.00,6,Fog,267<br />
2013-3-1,6,2,-2,2,0,-3,100,86,61,1024,1021,1019,31,9,3,21,13,,0.00,6,Rain,283<br />
2013-3-2,7,1,-4,0,-2,-5,100,79,45,1024,1022,1018,31,15,10,27,10,,0.00,3,Fog,267<br />
2013-3-3,6,2,-3,1,-1,-4,93,75,44,1024,1019,1016,31,14,8,27,18,,0.00,6,Fog-Rain-Snow,284<br />
2013-3-4,9,2,-5,0,-3,-5,100,71,35,1025,1023,1020,31,14,1,16,5,,0.00,,Fog,176<br />
2013-3-5,12,6,-1,-1,-3,-4,75,53,22,1021,1014,1009,31,29,27,21,11,,0.00,,,131<br />
2013-3-6,13,7,0,1,-1,-2,87,60,24,1009,1007,1004,26,20,18,11,5,,0.00,,,86<br />
2013-3-7,9,6,2,1,0,-1,81,63,44,1008,1006,1004,26,12,8,35,13,52,0.00,7,Rain,58<br />
2013-3-8,1,0,-1,-1,-2,-3,93,78,60,1010,1009,1008,26,12,10,34,24,47,0.00,7,Rain-Snow,78<br />
2013-3-9,2,0,-1,-1,-3,-4,100,79,60,1009,1007,1004,26,10,3,27,21,,1.02,6,Snow,77<br />
2013-3-10,-2,-3,-5,-2,-4,-7,100,88,72,1005,1002,1000,18,5,1,26,18,,3.05,7,Snow,53<br />
2013-3-11,-3,-4,-6,-7,-8,-8,86,77,55,1009,1007,1004,26,10,3,14,11,,0.00,6,Snow,26<br />
2013-3-12,-2,-4,-6,-7,-7,-8,93,76,51,1009,1006,1004,31,10,3,19,8,,0.00,6,Snow,33<br />
2013-3-13,0,-3,-8,-7,-9,-11,86,64,31,1008,1005,1004,31,13,10,13,6,,0.00,4,,334<br />
2013-3-14,1,-6,-12,-3,-7,-12,100,76,44,1012,1010,1008,26,13,5,14,5,,0.00,4,Fog-Snow,292<br />
