Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2014,201401,January 2014,4,0,2,Exports,826,United Kingdom,,703,Slovakia,,,,,,,,,1511,"Palm oil and its fractions, not chemically modified",0,,,,,,72.0,,641,,,0
HS,2014,201401,January 2014,4,0,1,Imports,826,United Kingdom,,724,Spain,,,,,,,,,1511,"Palm oil and its fractions, not chemically modified",0,,,,,,645509.0,,825117,,,0
HS,2014,201401,January 2014,4,0,2,Exports,826,United Kingdom,,724,Spain,,,,,,,,,1511,"Palm oil and its fractions, not chemically modified",0,,,,,,27827.0,,140193,,,0
HS,2014,201401,January 2014,4,0,2,Exports,826,United Kingdom,,757,Switzerland,,,,,,,,,1511,"Palm oil and its fractions, not chemically modified",0,,,,,,5000.0,,7064,,,0
HS,2014,201401,January 2014,4,0,2,Exports,826,United Kingdom,,784,United Arab Emirates,,,,,,,,,1511,"Palm oil and its fractions, not chemically modified",0,,,,,,19000.0,,18818,,,0
HS,2014,201402,February 2014,4,0,1,Imports,826,United Kingdom,,0,World,,,,,,,,,1511,"Palm oil and its fractions, not chemically modified",0,,,,,,31603942.0,,29950202,,,0
HS,2014,201402,February 2014,4,0,2,Exports,826,United Kingdom,,0,World,,,,,,,,,1511,"Palm oil and its fractions, not chemically modified",0,,,,,,1692551.0,,2916552,,,0
HS,2014,201402,February 2014,4,0,2,Exports,826,United Kingdom,,40,Austria,,,,,,,,,1511,"Palm oil and its fractions, not chemically modified",0,,,,,,3667.0,,10391,,,0
HS,2014,201402,February 2014,4,0,2,Exports,826,United Kingdom,,56,Belgium,,,,,,,,,1511,"Palm oil and its fractions, not chemically modified",0,,,,,,212.0,,190,,,0
HS,2014,201402,February 2014,4,0,1,Imports,826,United Kingdom,,76,Brazil,,,,,,,,,1511,"Palm oil and its fractions, not chemically modified",0,,,,,,336.0,,2220,,,0
HS,2014,201402,February 2014,4,0,2,Exports,826,United Kingdom,,76,Brazil,,,,,,,,,1511,"Palm oil and its fractions, not chemically modified",0,,,,,,90.0,,3402,,,0
HS,2014,201402,February 2014,4,0,1,Imports,826,United Kingdom,,90,Solomon Isds,,,,,,,,,1511,"Palm oil and its fractions, not chemically modified",0,,,,,,2702508.0,,2430943,,,0
HS,2014,201402,February 2014,4,0,1,Imports,826,United Kingdom,,170,Colombia,,,,,,,,,1511,"Palm oil and its fractions, not chemically modified",0,,,,,,20700.0,,42498,,,0
HS,2014,201402,February 2014,4,0,2,Exports,826,United Kingdom,,196,Cyprus,,,,,,,,,1511,"Palm oil and its fractions, not chemically modified",0,,,,,,1251.0,,1030,,,0
HS,2014,201402,February 2014,4,0,2,Exports,826,United Kingdom,,208,Denmark,,,,,,,,,1511,"Palm oil and its fractions, not chemically modified",0,,,,,,135.0,,663,,,0
HS,2014,201402,February 2014,4,0,2,Exports,826,United Kingdom,,233,Estonia,,,,,,,,,1511,"Palm oil and its fractions, not chemically modified",0,,,,,,78.0,,38,,,0
HS,2014,201402,February 2014,4,0,2,Exports,826,United Kingdom,,246,Finland,,,,,,,,,1511,"Palm oil and its fractions, not chemically modified",0,,,,,,26482.0,,34694,,,0
HS,2014,201402,February 2014,4,0,1,Imports,826,United Kingdom,,251,France,,,,,,,,,1511,"Palm oil and its fractions, not chemically modified",0,,,,,,33.0,,420,,,0
HS,2014,201402,February 2014,4,0,2,Exports,826,United Kingdom,,251,France,,,,,,,,,1511,"Palm oil and its fractions, not chemically modified",0,,,,,,33209.0,,77279,,,0
HS,2014,201402,February 2014,4,0,1,Imports,826,United Kingdom,,276,Germany,,,,,,,,,1511,"Palm oil and its fractions, not chemically modified",0,,,,,,303520.0,,424272,,,0
HS,2014,201402,February 2014,4,0,2,Exports,826,United Kingdom,,276,Germany,,,,,,,,,1511,"Palm oil and its fractions, not chemically modified",0,,,,,,275502.0,,343089,,,0
HS,2014,201402,February 2014,4,0,1,Imports,826,United Kingdom,,288,Ghana,,,,,,,,,1511,"Palm oil and its fractions, not chemically modified",0,,,,,,73296.0,,156961,,,0
HS,2014,201402,February 2014,4,0,2,Exports,826,United Kingdom,,348,Hungary,,,,,,,,,1511,"Palm oil and its fractions, not chemically modified",0,,,,,,47.0,,278,,,0
HS,2014,201402,February 2014,4,0,1,Imports,826,United Kingdom,,360,Indonesia,,,,,,,,,1511,"Palm oil and its fractions, not chemically modified",0,,,,,,2175657.0,,1824255,,,0
